load word2vec finished
C:\Users\billy\anaconda3\envs\python38\lib\site-packages\torch\nn\modules\rnn.py:58: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.3 and num_layers=1
0 1100 0.07648705691099167 0.71875 2021-03-14 14:06:42.159466
0 1110 0.08264656364917755 0.59375 2021-03-14 14:06:45.209466
0 1120 0.07338379323482513 0.75 2021-03-14 14:06:48.281467
0 1130 0.07369780540466309 0.71875 2021-03-14 14:06:51.313465
0 1140 0.07095444202423096 0.6875 2021-03-14 14:06:54.356466
0 1150 0.07978355139493942 0.6875 2021-03-14 14:06:57.431466
0 1160 0.07520956546068192 0.8125 2021-03-14 14:07:00.473466
0 1170 0.07459020614624023 0.75 2021-03-14 14:07:03.488466
0 1180 0.07250002771615982 0.78125 2021-03-14 14:07:06.572466
0 1190 0.07404877990484238 0.6875 2021-03-14 14:07:09.669466
0 1200 0.0847141221165657 0.5625 2021-03-14 14:07:12.712466
0 1210 0.07675600051879883 0.65625 2021-03-14 14:07:15.780466
0 1220 0.0911998450756073 0.625 2021-03-14 14:07:18.821466
0 1230 0.08505971729755402 0.625 2021-03-14 14:07:21.924664
0 1240 0.07743316888809204 0.65625 2021-03-14 14:07:24.963664
0 1250 0.07679587602615356 0.75 2021-03-14 14:07:28.138665
0 1260 0.08357362449169159 0.65625 2021-03-14 14:07:31.284664
0 1270 0.08611160516738892 0.625 2021-03-14 14:07:34.376665
0 1280 0.07786598801612854 0.65625 2021-03-14 14:07:37.426665
0 1290 0.09868723154067993 0.5625 2021-03-14 14:07:40.609665
0 1300 0.08393359184265137 0.59375 2021-03-14 14:07:43.708665
0 1310 0.08585520088672638 0.625 2021-03-14 14:07:46.805664
0 1320 0.08734838664531708 0.53125 2021-03-14 14:07:49.848664
0 1330 0.09853662550449371 0.5 2021-03-14 14:07:52.956664
0 1340 0.07896668463945389 0.71875 2021-03-14 14:07:56.030664
0 1350 0.08113791793584824 0.6875 2021-03-14 14:07:59.140664
0 1360 0.07944129407405853 0.6875 2021-03-14 14:08:02.179664
0 1370 0.06526084244251251 0.78125 2021-03-14 14:08:05.236664
0 1380 0.09191849827766418 0.53125 2021-03-14 14:08:08.335665
0 1390 0.08768332749605179 0.625 2021-03-14 14:08:11.438664
0 1400 0.08403328061103821 0.625 2021-03-14 14:08:14.452664
0 1410 0.0944986343383789 0.5625 2021-03-14 14:08:17.513664
0 1420 0.06893865019083023 0.8125 2021-03-14 14:08:20.647667
0 1430 0.0844276025891304 0.59375 2021-03-14 14:08:23.739664
0 1440 0.07538816332817078 0.71875 2021-03-14 14:08:26.859664
0 1450 0.0775856077671051 0.65625 2021-03-14 14:08:29.935664
0 1460 0.06857018172740936 0.71875 2021-03-14 14:08:32.943664
0 1470 0.08039620518684387 0.59375 2021-03-14 14:08:35.961664
0 1480 0.08193758130073547 0.625 2021-03-14 14:08:39.048664
0 1490 0.08566886186599731 0.625 2021-03-14 14:08:42.102665
0 1500 0.06709588319063187 0.8125 2021-03-14 14:08:45.203666
test 0.5284455128205128 2021-03-14 14:09:55.602664
0 1510 0.09596370160579681 0.5625 2021-03-14 14:09:58.667664
0 1520 0.07095089554786682 0.71875 2021-03-14 14:10:01.787664
0 1530 0.10042113065719604 0.4375 2021-03-14 14:10:04.855664
0 1540 0.07603251934051514 0.625 2021-03-14 14:10:07.995665
0 1550 0.0864027589559555 0.5625 2021-03-14 14:10:11.071666
0 1560 0.07315283268690109 0.65625 2021-03-14 14:10:14.194664
0 1570 0.08605250716209412 0.59375 2021-03-14 14:10:17.364664
0 1580 0.0845639556646347 0.59375 2021-03-14 14:10:20.464664
0 1590 0.0831669420003891 0.65625 2021-03-14 14:10:23.532664
0 1600 0.07161825895309448 0.78125 2021-03-14 14:10:26.687665
0 1610 0.0954013392329216 0.5625 2021-03-14 14:10:29.773665
0 1620 0.07048583030700684 0.65625 2021-03-14 14:10:32.912664
0 1630 0.08527663350105286 0.53125 2021-03-14 14:10:36.058665
0 1640 0.08147022128105164 0.625 2021-03-14 14:10:39.246665
0 1650 0.07338847219944 0.6875 2021-03-14 14:10:42.362664
0 1660 0.0772438496351242 0.625 2021-03-14 14:10:45.554664
0 1670 0.08321260660886765 0.65625 2021-03-14 14:10:48.710669
0 1680 0.08700013905763626 0.59375 2021-03-14 14:10:51.844664
0 1690 0.07741212099790573 0.625 2021-03-14 14:10:54.967665
0 1700 0.07419441640377045 0.71875 2021-03-14 14:10:57.996664
0 1710 0.07301144301891327 0.75 2021-03-14 14:11:01.146666
0 1720 0.09567423164844513 0.5625 2021-03-14 14:11:04.275665
0 1730 0.06792120635509491 0.75 2021-03-14 14:11:07.428835
0 1740 0.07747713476419449 0.6875 2021-03-14 14:11:10.539834
0 1750 0.07237128913402557 0.75 2021-03-14 14:11:13.661835
0 1760 0.08349113166332245 0.71875 2021-03-14 14:11:16.710836
0 1770 0.07789459824562073 0.71875 2021-03-14 14:11:19.843837
